"tax_id","parent_id","rank","tax_name","root","root_","superkingdom","superkingdom_","superkingdom__","phylum","subphylum","class","order","family","genus","species_group","species","species_","species__","subspecies","subspecies_","subspecies__"
"1","1","root","root","1","","","","","","","","","","","","","","","","",""
"131567","1","root_","cellular organisms","1","131567","","","","","","","","","","","","","","","",""
"2","131567","superkingdom","Bacteria","1","131567","2","","","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","","","1224","","","","","","","","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","2","","","1224","","1236","","","","","","","","","",""
"72274","1236","order","Pseudomonadales","1","131567","2","","","1224","","1236","72274","","","","","","","","",""
"135621","72274","family","Pseudomonadaceae","1","131567","2","","","1224","","1236","72274","135621","","","","","","","",""
"286","135621","genus","Pseudomonas","1","131567","2","","","1224","","1236","72274","135621","286","","","","","","",""
"1495066","286","species","Pseudomonas capeferrum","1","131567","2","","","1224","","1236","72274","135621","286","","1495066","","","","",""
"404407","286","species","Pseudomonas indoloxydans","1","131567","2","","","1224","","1236","72274","135621","286","","404407","","","","",""
"797277","286","species","Pseudomonas litoralis","1","131567","2","","","1224","","1236","72274","135621","286","","797277","","","","",""
"136841","286","species_group","Pseudomonas aeruginosa group","1","131567","2","","","1224","","1236","72274","135621","286","136841","","","","","",""
"287","136841","species","Pseudomonas aeruginosa","1","131567","2","","","1224","","1236","72274","135621","286","136841","287","","","","",""
"136843","286","species_group","Pseudomonas fluorescens group","1","131567","2","","","1224","","1236","72274","135621","286","136843","","","","","",""
"298","136843","species","Pseudomonas marginalis","1","131567","2","","","1224","","1236","72274","135621","286","136843","298","","","","",""
"136849","286","species_group","Pseudomonas syringae group","1","131567","2","","","1224","","1236","72274","135621","286","136849","","","","","",""
"1451454","136849","species","Pseudomonas caspiana","1","131567","2","","","1224","","1236","72274","135621","286","136849","1451454","","","","",""
"468","72274","family","Moraxellaceae","1","131567","2","","","1224","","1236","72274","468","","","","","","","",""
"469","468","genus","Acinetobacter","1","131567","2","","","1224","","1236","72274","468","469","","","","","","",""
"106649","469","species","Acinetobacter guillouiae","1","131567","2","","","1224","","1236","72274","468","469","","106649","","","","",""
