"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","phylum","subphylum","class","below_class","order","below_order","below_below_order","family","below_family","genus","below_genus","species_group","species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","",""
"2","131567","superkingdom","Bacteria","1","131567","2","","","","","","","","","","","","","","","","","","","",""
"1783270","2","below_superkingdom","FCB group","1","131567","2","1783270","","","","","","","","","","","","","","","","","","",""
"1783257","2","below_superkingdom","PVC group","1","131567","2","1783257","","","","","","","","","","","","","","","","","","",""
"1783272","2","below_superkingdom","Terrabacteria group","1","131567","2","1783272","","","","","","","","","","","","","","","","","","",""
"2323","2","below_superkingdom","unclassified Bacteria","1","131567","2","2323","","","","","","","","","","","","","","","","","","",""
"1783234","2323","below_below_superkingdom","Bacteria candidate phyla","1","131567","2","2323","1783234","","","","","","","","","","","","","","","","","",""
"68336","1783270","below_below_superkingdom","Bacteroidetes/Chlorobi group","1","131567","2","1783270","68336","","","","","","","","","","","","","","","","","",""
"201174","1783272","phylum","Actinobacteria","1","131567","2","1783272","","201174","","","","","","","","","","","","","","","","",""
"976","68336","phylum","Bacteroidetes","1","131567","2","1783270","68336","976","","","","","","","","","","","","","","","","",""
"95818","1783234","phylum","Candidatus Saccharibacteria","1","131567","2","2323","1783234","95818","","","","","","","","","","","","","","","","",""
"204428","1783257","phylum","Chlamydiae","1","131567","2","1783257","","204428","","","","","","","","","","","","","","","","",""
"1239","1783272","phylum","Firmicutes","1","131567","2","1783272","","1239","","","","","","","","","","","","","","","","",""
"32066","2","phylum","Fusobacteria","1","131567","2","","","32066","","","","","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","","","1224","","","","","","","","","","","","","","","","",""
"544448","1783272","phylum","Tenericutes","1","131567","2","1783272","","544448","","","","","","","","","","","","","","","","",""
"68525","1224","subphylum","delta/epsilon subdivisions","1","131567","2","","","1224","68525","","","","","","","","","","","","","","","",""
"1760","201174","class","Actinobacteria","1","131567","2","1783272","","201174","","1760","","","","","","","","","","","","","","",""
"28211","1224","class","Alphaproteobacteria","1","131567","2","","","1224","","28211","","","","","","","","","","","","","","",""
"91061","1239","class","Bacilli","1","131567","2","1783272","","1239","","91061","","","","","","","","","","","","","","",""
"200643","976","class","Bacteroidia","1","131567","2","1783270","68336","976","","200643","","","","","","","","","","","","","","",""
"28216","1224","class","Betaproteobacteria","1","131567","2","","","1224","","28216","","","","","","","","","","","","","","",""
"tm7vag_c","95818","class","Candidate Division TM7 vaginal (class)","1","131567","2","2323","1783234","95818","","tm7vag_c","","","","","","","","","","","","","","",""
"204429","204428","class","Chlamydiia","1","131567","2","1783257","","204428","","204429","","","","","","","","","","","","","","",""
"186801","1239","class","Clostridia","1","131567","2","1783272","","1239","","186801","","","","","","","","","","","","","","",""
"84998","201174","class","Coriobacteriia","1","131567","2","1783272","","201174","","84998","","","","","","","","","","","","","","",""
"29547","68525","class","Epsilonproteobacteria","1","131567","2","","","1224","68525","29547","","","","","","","","","","","","","","",""
"117743","976","class","Flavobacteriia","1","131567","2","1783270","68336","976","","117743","","","","","","","","","","","","","","",""
"203490","32066","class","Fusobacteriia","1","131567","2","","","32066","","203490","","","","","","","","","","","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","2","","","1224","","1236","","","","","","","","","","","","","","",""
"31969","544448","class","Mollicutes","1","131567","2","1783272","","544448","","31969","","","","","","","","","","","","","","",""
"909932","1239","class","Negativicutes","1","131567","2","1783272","","1239","","909932","","","","","","","","","","","","","","",""
"117747","976","class","Sphingobacteriia","1","131567","2","1783270","68336","976","","117747","","","","","","","","","","","","","","",""
"1737404","1239","class","Tissierellia","1","131567","2","1783272","","1239","","1737404","","","","","","","","","","","","","","",""
"1737407","1737404","below_class","unclassified Tissierellia","1","131567","2","1783272","","1239","","1737404","1737407","","","","","","","","","","","","","",""
"2037","1760","order","Actinomycetales","1","131567","2","1783272","","201174","","1760","","2037","","","","","","","","","","","","",""
"1385","91061","order","Bacillales","1","131567","2","1783272","","1239","","91061","","1385","","","","","","","","","","","","",""
"171549","200643","order","Bacteroidales","1","131567","2","1783270","68336","976","","200643","","171549","","","","","","","","","","","","",""
"85004","1760","order","Bifidobacteriales","1","131567","2","1783272","","201174","","1760","","85004","","","","","","","","","","","","",""
"80840","28216","order","Burkholderiales","1","131567","2","","","1224","","28216","","80840","","","","","","","","","","","","",""
"213849","29547","order","Campylobacterales","1","131567","2","","","1224","68525","29547","","213849","","","","","","","","","","","","",""
"tm7vag_o","tm7vag_c","order","Candidate Division TM7 vaginal (order)","1","131567","2","2323","1783234","95818","","tm7vag_c","","tm7vag_o","","","","","","","","","","","","",""
"204458","28211","order","Caulobacterales","1","131567","2","","","1224","","28211","","204458","","","","","","","","","","","","",""
"51291","204429","order","Chlamydiales","1","131567","2","1783257","","204428","","204429","","51291","","","","","","","","","","","","",""
"186802","186801","order","Clostridiales","1","131567","2","1783272","","1239","","186801","","186802","","","","","","","","","","","","",""
"84999","84998","order","Coriobacteriales","1","131567","2","1783272","","201174","","84998","","84999","","","","","","","","","","","","",""
"85007","1760","order","Corynebacteriales","1","131567","2","1783272","","201174","","1760","","85007","","","","","","","","","","","","",""
"1643822","84998","order","Eggerthellales","1","131567","2","1783272","","201174","","84998","","1643822","","","","","","","","","","","","",""
"200644","117743","order","Flavobacteriales","1","131567","2","1783270","68336","976","","117743","","200644","","","","","","","","","","","","",""
"203491","203490","order","Fusobacteriales","1","131567","2","","","32066","","203490","","203491","","","","","","","","","","","","",""
"186826","91061","order","Lactobacillales","1","131567","2","1783272","","1239","","91061","","186826","","","","","","","","","","","","",""
"85006","1760","order","Micrococcales","1","131567","2","1783272","","201174","","1760","","85006","","","","","","","","","","","","",""
"2085","31969","order","Mycoplasmatales","1","131567","2","1783272","","544448","","31969","","2085","","","","","","","","","","","","",""
"206351","28216","order","Neisseriales","1","131567","2","","","1224","","28216","","206351","","","","","","","","","","","","",""
"135625","1236","order","Pasteurellales","1","131567","2","","","1224","","1236","","135625","","","","","","","","","","","","",""
"72274","1236","order","Pseudomonadales","1","131567","2","","","1224","","1236","","72274","","","","","","","","","","","","",""
"204441","28211","order","Rhodospirillales","1","131567","2","","","1224","","28211","","204441","","","","","","","","","","","","",""
"200666","117747","order","Sphingobacteriales","1","131567","2","1783270","68336","976","","117747","","200666","","","","","","","","","","","","",""
"1737405","1737404","order","Tissierellales","1","131567","2","1783272","","1239","","1737404","","1737405","","","","","","","","","","","","",""
"1843489","909932","order","Veillonellales","1","131567","2","1783272","","1239","","909932","","1843489","","","","","","","","","","","","",""
"135614","1236","order","Xanthomonadales","1","131567","2","","","1224","","1236","","135614","","","","","","","","","","","","",""
"539002","1385","below_order","Bacillales incertae sedis","1","131567","2","1783272","","1239","","91061","","1385","539002","","","","","","","","","","","",""
"539738","539002","below_below_order","Bacillales Family XI. Incertae Sedis","1","131567","2","1783272","","1239","","91061","","1385","539002","539738","","","","","","","","","","",""
"433","204441","family","Acetobacteraceae","1","131567","2","","","1224","","28211","","204441","","","433","","","","","","","","","",""
"2049","2037","family","Actinomycetaceae","1","131567","2","1783272","","201174","","1760","","2037","","","2049","","","","","","","","","",""
"186827","186826","family","Aerococcaceae","1","131567","2","1783272","","1239","","91061","","186826","","","186827","","","","","","","","","",""
"1643824","84999","family","Atopobiaceae","1","131567","2","1783272","","201174","","84998","","84999","","","1643824","","","","","","","","","",""
"186817","1385","family","Bacillaceae","1","131567","2","1783272","","1239","","91061","","1385","","","186817","","","","","","","","","",""
"31953","85004","family","Bifidobacteriaceae","1","131567","2","1783272","","201174","","1760","","85004","","","31953","","","","","","","","","",""
"85019","85006","family","Brevibacteriaceae","1","131567","2","1783272","","201174","","1760","","85006","","","85019","","","","","","","","","",""
"72294","213849","family","Campylobacteraceae","1","131567","2","","","1224","68525","29547","","213849","","","72294","","","","","","","","","",""
"tm7vag_f","tm7vag_o","family","Candidate Division TM7 vaginal (family)","1","131567","2","2323","1783234","95818","","tm7vag_c","","tm7vag_o","","","tm7vag_f","","","","","","","","","",""
"186828","186826","family","Carnobacteriaceae","1","131567","2","1783272","","1239","","91061","","186826","","","186828","","","","","","","","","",""
"424536","186802","family","Catabacteriaceae","1","131567","2","1783272","","1239","","186801","","186802","","","424536","","","","","","","","","",""
"76892","204458","family","Caulobacteraceae","1","131567","2","","","1224","","28211","","204458","","","76892","","","","","","","","","",""
