"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","superphylum","phylum","subphylum","class","subclass","order","below_order","below_below_order","suborder","family","below_family","genus","species_group","species","below_species","below_below_species","subspecies","below_subspecies"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","",""
"2","131567","superkingdom","Bacteria","1","131567","2","","","","","","","","","","","","","","","","","","","",""
"2323","2","below_superkingdom","unclassified Bacteria","1","131567","2","2323","","","","","","","","","","","","","","","","","","",""
"95818","2323","below_below_superkingdom","candidate division TM7","1","131567","2","2323","95818","","","","","","","","","","","","","","","","","",""
"68336","2","superphylum","Bacteroidetes/Chlorobi group","1","131567","2","","","68336","","","","","","","","","","","","","","","","",""
"201174","2","phylum","Actinobacteria","1","131567","2","","","","201174","","","","","","","","","","","","","","","",""
"976","68336","phylum","Bacteroidetes","1","131567","2","","","68336","976","","","","","","","","","","","","","","","",""
"1239","2","phylum","Firmicutes","1","131567","2","","","","1239","","","","","","","","","","","","","","","",""
"32066","2","phylum","Fusobacteria","1","131567","2","","","","32066","","","","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","","","","1224","","","","","","","","","","","","","","","",""
"508458","2","phylum","Synergistetes","1","131567","2","","","","508458","","","","","","","","","","","","","","","",""
"544448","2","phylum","Tenericutes","1","131567","2","","","","544448","","","","","","","","","","","","","","","",""
"68525","1224","subphylum","delta/epsilon subdivisions","1","131567","2","","","","1224","68525","","","","","","","","","","","","","","",""
"1760","201174","class","Actinobacteria","1","131567","2","","","","201174","","1760","","","","","","","","","","","","","",""
"91061","1239","class","Bacilli","1","131567","2","","","","1239","","91061","","","","","","","","","","","","","",""
"200643","976","class","Bacteroidia","1","131567","2","","","68336","976","","200643","","","","","","","","","","","","","",""
"28216","1224","class","Betaproteobacteria","1","131567","2","","","","1224","","28216","","","","","","","","","","","","","",""
"186801","1239","class","Clostridia","1","131567","2","","","","1239","","186801","","","","","","","","","","","","","",""
"29547","68525","class","Epsilonproteobacteria","1","131567","2","","","","1224","68525","29547","","","","","","","","","","","","","",""
"117743","976","class","Flavobacteriia","1","131567","2","","","68336","976","","117743","","","","","","","","","","","","","",""
"203490","32066","class","Fusobacteriia","1","131567","2","","","","32066","","203490","","","","","","","","","","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","2","","","","1224","","1236","","","","","","","","","","","","","",""
"31969","544448","class","Mollicutes","1","131567","2","","","","544448","","31969","","","","","","","","","","","","","",""
"909932","1239","class","Negativicutes","1","131567","2","","","","1239","","909932","","","","","","","","","","","","","",""
"649775","508458","class","Synergistia","1","131567","2","","","","508458","","649775","","","","","","","","","","","","","",""
"85003","1760","subclass","Actinobacteridae","1","131567","2","","","","201174","","1760","85003","","","","","","","","","","","","",""
"84998","1760","subclass","Coriobacteridae","1","131567","2","","","","201174","","1760","84998","","","","","","","","","","","","",""
"84995","1760","subclass","Rubrobacteridae","1","131567","2","","","","201174","","1760","84995","","","","","","","","","","","","",""
"2037","85003","order","Actinomycetales","1","131567","2","","","","201174","","1760","85003","2037","","","","","","","","","","","",""
"1385","91061","order","Bacillales","1","131567","2","","","","1239","","91061","","1385","","","","","","","","","","","",""
"171549","200643","order","Bacteroidales","1","131567","2","","","68336","976","","200643","","171549","","","","","","","","","","","",""
"85004","85003","order","Bifidobacteriales","1","131567","2","","","","201174","","1760","85003","85004","","","","","","","","","","","",""
"213849","29547","order","Campylobacterales","1","131567","2","","","","1224","68525","29547","","213849","","","","","","","","","","","",""
"186802","186801","order","Clostridiales","1","131567","2","","","","1239","","186801","","186802","","","","","","","","","","","",""
"84999","84998","order","Coriobacteriales","1","131567","2","","","","201174","","1760","84998","84999","","","","","","","","","","","",""
"91347","1236","order","Enterobacteriales","1","131567","2","","","","1224","","1236","","91347","","","","","","","","","","","",""
"200644","117743","order","Flavobacteriales","1","131567","2","","","68336","976","","117743","","200644","","","","","","","","","","","",""
"203491","203490","order","Fusobacteriales","1","131567","2","","","","32066","","203490","","203491","","","","","","","","","","","",""
"186826","91061","order","Lactobacillales","1","131567","2","","","","1239","","91061","","186826","","","","","","","","","","","",""
"206350","28216","order","Methylophilales","1","131567","2","","","","1224","","28216","","206350","","","","","","","","","","","",""
"2085","31969","order","Mycoplasmatales","1","131567","2","","","","544448","","31969","","2085","","","","","","","","","","","",""
"206351","28216","order","Neisseriales","1","131567","2","","","","1224","","28216","","206351","","","","","","","","","","","",""
"135625","1236","order","Pasteurellales","1","131567","2","","","","1224","","1236","","135625","","","","","","","","","","","",""
"72274","1236","order","Pseudomonadales","1","131567","2","","","","1224","","1236","","72274","","","","","","","","","","","",""
"909929","909932","order","Selenomonadales","1","131567","2","","","","1239","","909932","","909929","","","","","","","","","","","",""
"649776","649775","order","Synergistales","1","131567","2","","","","508458","","649775","","649776","","","","","","","","","","","",""
"588674","84995","order","Thermoleophilales","1","131567","2","","","","201174","","1760","84995","588674","","","","","","","","","","","",""
"539002","1385","below_order","Bacillales incertae sedis","1","131567","2","","","","1239","","91061","","1385","539002","","","","","","","","","","",""
"538999","186802","below_order","Clostridiales incertae sedis","1","131567","2","","","","1239","","186801","","186802","538999","","","","","","","","","","",""
"186813","186802","below_order","unclassified Clostridiales","1","131567","2","","","","1239","","186801","","186802","186813","","","","","","","","","","",""
"539738","539002","below_below_order","Bacillales Family XI. Incertae Sedis","1","131567","2","","","","1239","","91061","","1385","539002","539738","","","","","","","","","",""
"39779","186813","below_below_order","unclassified Clostridiales (miscellaneous)","1","131567","2","","","","1239","","186801","","186802","186813","39779","","","","","","","","","",""
"85005","2037","suborder","Actinomycineae","1","131567","2","","","","201174","","1760","85003","2037","","","85005","","","","","","","","",""
"255727","84999","suborder","Coriobacterineae","1","131567","2","","","","201174","","1760","84998","84999","","","255727","","","","","","","","",""
"85007","2037","suborder","Corynebacterineae","1","131567","2","","","","201174","","1760","85003","2037","","","85007","","","","","","","","",""
"85006","2037","suborder","Micrococcineae","1","131567","2","","","","201174","","1760","85003","2037","","","85006","","","","","","","","",""
"2049","85005","family","Actinomycetaceae","1","131567","2","","","","201174","","1760","85003","2037","","","85005","2049","","","","","","","",""
"186827","186826","family","Aerococcaceae","1","131567","2","","","","1239","","91061","","186826","","","","186827","","","","","","","",""
"815","171549","family","Bacteroidaceae","1","131567","2","","","68336","976","","200643","","171549","","","","815","","","","","","","",""
"31953","85004","family","Bifidobacteriaceae","1","131567","2","","","","201174","","1760","85003","85004","","","","31953","","","","","","","",""
"85019","85006","family","Brevibacteriaceae","1","131567","2","","","","201174","","1760","85003","2037","","","85006","85019","","","","","","","",""
"72294","213849","family","Campylobacteraceae","1","131567","2","","","","1224","68525","29547","","213849","","","","72294","","","","","","","",""
"85016","85006","family","Cellulomonadaceae","1","131567","2","","","","201174","","1760","85003","2037","","","85006","85016","","","","","","","",""
"31979","186802","family","Clostridiaceae","1","131567","2","","","","1239","","186801","","186802","","","","31979","","","","","","","",""
"543310","538999","family","Clostridiales Family XI. Incertae Sedis","1","131567","2","","","","1239","","186801","","186802","538999","","","543310","","","","","","","",""
"84107","255727","family","Coriobacteriaceae","1","131567","2","","","","201174","","1760","84998","84999","","","255727","84107","","","","","","","",""
"1653","85007","family","Corynebacteriaceae","1","131567","2","","","","201174","","1760","85003","2037","","","85007","1653","","","","","","","",""
"543","91347","family","Enterobacteriaceae","1","131567","2","","","","1224","","1236","","91347","","","","543","","","","","","","",""
"186806","186802","family","Eubacteriaceae","1","131567","2","","","","1239","","186801","","186802","","","","186806","","","","","","","",""
"49546","200644","family","Flavobacteriaceae","1","131567","2","","","68336","976","","117743","","200644","","","","49546","","","","","","","",""
"203492","203491","family","Fusobacteriaceae","1","131567","2","","","","32066","","203490","","203491","","","","203492","","","","","","","",""
"186803","186802","family","Lachnospiraceae","1","131567","2","","","","1239","","186801","","186802","","","","186803","","","","","","","",""
"33958","186826","family","Lactobacillaceae","1","131567","2","","","","1239","","91061","","186826","","","","33958","","","","","","","",""
"1129771","203491","family","Leptotrichiaceae","1","131567","2","","","","32066","","203490","","203491","","","","1129771","","","","","","","",""
"32011","206350","family","Methylophilaceae","1","131567","2","","","","1224","","28216","","206350","","","","32011","","","","","","","",""
"1268","85006","family","Micrococcaceae","1","131567","2","","","","201174","","1760","85003","2037","","","85006","1268","","","","","","","",""
"2092","2085","family","Mycoplasmataceae","1","131567","2","","","","544448","","31969","","2085","","","","2092","","","","","","","",""
