"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","superphylum","phylum","subphylum","class","order","below_order","below_below_order","family","below_family","genus","below_genus","species_group","species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","",""
"2","131567","superkingdom","Bacteria","1","131567","2","","","","","","","","","","","","","","","","","","",""
"2323","2","below_superkingdom","unclassified Bacteria","1","131567","2","2323","","","","","","","","","","","","","","","","","",""
"68336","2","superphylum","Bacteroidetes/Chlorobi group","1","131567","2","","68336","","","","","","","","","","","","","","","","",""
"51290","2","superphylum","Chlamydiae/Verrucomicrobia group","1","131567","2","","51290","","","","","","","","","","","","","","","","",""
"201174","2","phylum","Actinobacteria","1","131567","2","","","201174","","","","","","","","","","","","","","","",""
"976","68336","phylum","Bacteroidetes","1","131567","2","","68336","976","","","","","","","","","","","","","","","",""
"95818","2323","phylum","Candidatus Saccharibacteria","1","131567","2","2323","","95818","","","","","","","","","","","","","","","",""
"204428","51290","phylum","Chlamydiae","1","131567","2","","51290","204428","","","","","","","","","","","","","","","",""
"1239","2","phylum","Firmicutes","1","131567","2","","","1239","","","","","","","","","","","","","","","",""
"32066","2","phylum","Fusobacteria","1","131567","2","","","32066","","","","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","","","1224","","","","","","","","","","","","","","","",""
"544448","2","phylum","Tenericutes","1","131567","2","","","544448","","","","","","","","","","","","","","","",""
"68525","1224","subphylum","delta/epsilon subdivisions","1","131567","2","","","1224","68525","","","","","","","","","","","","","","",""
"1760","201174","class","Actinobacteria","1","131567","2","","","201174","","1760","","","","","","","","","","","","","",""
"28211","1224","class","Alphaproteobacteria","1","131567","2","","","1224","","28211","","","","","","","","","","","","","",""
"91061","1239","class","Bacilli","1","131567","2","","","1239","","91061","","","","","","","","","","","","","",""
"200643","976","class","Bacteroidia","1","131567","2","","68336","976","","200643","","","","","","","","","","","","","",""
"28216","1224","class","Betaproteobacteria","1","131567","2","","","1224","","28216","","","","","","","","","","","","","",""
"204429","204428","class","Chlamydiia","1","131567","2","","51290","204428","","204429","","","","","","","","","","","","","",""
"186801","1239","class","Clostridia","1","131567","2","","","1239","","186801","","","","","","","","","","","","","",""
"84998","201174","class","Coriobacteriia","1","131567","2","","","201174","","84998","","","","","","","","","","","","","",""
"29547","68525","class","Epsilonproteobacteria","1","131567","2","","","1224","68525","29547","","","","","","","","","","","","","",""
"117743","976","class","Flavobacteriia","1","131567","2","","68336","976","","117743","","","","","","","","","","","","","",""
"203490","32066","class","Fusobacteriia","1","131567","2","","","32066","","203490","","","","","","","","","","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","2","","","1224","","1236","","","","","","","","","","","","","",""
"31969","544448","class","Mollicutes","1","131567","2","","","544448","","31969","","","","","","","","","","","","","",""
"909932","1239","class","Negativicutes","1","131567","2","","","1239","","909932","","","","","","","","","","","","","",""
"2037","1760","order","Actinomycetales","1","131567","2","","","201174","","1760","2037","","","","","","","","","","","","",""
"1385","91061","order","Bacillales","1","131567","2","","","1239","","91061","1385","","","","","","","","","","","","",""
"171549","200643","order","Bacteroidales","1","131567","2","","68336","976","","200643","171549","","","","","","","","","","","","",""
"85004","1760","order","Bifidobacteriales","1","131567","2","","","201174","","1760","85004","","","","","","","","","","","","",""
"80840","28216","order","Burkholderiales","1","131567","2","","","1224","","28216","80840","","","","","","","","","","","","",""
"213849","29547","order","Campylobacterales","1","131567","2","","","1224","68525","29547","213849","","","","","","","","","","","","",""
"51291","204429","order","Chlamydiales","1","131567","2","","51290","204428","","204429","51291","","","","","","","","","","","","",""
"186802","186801","order","Clostridiales","1","131567","2","","","1239","","186801","186802","","","","","","","","","","","","",""
"84999","84998","order","Coriobacteriales","1","131567","2","","","201174","","84998","84999","","","","","","","","","","","","",""
"85007","1760","order","Corynebacteriales","1","131567","2","","","201174","","1760","85007","","","","","","","","","","","","",""
"1643822","84998","order","Eggerthellales","1","131567","2","","","201174","","84998","1643822","","","","","","","","","","","","",""
"91347","1236","order","Enterobacteriales","1","131567","2","","","1224","","1236","91347","","","","","","","","","","","","",""
"200644","117743","order","Flavobacteriales","1","131567","2","","68336","976","","117743","200644","","","","","","","","","","","","",""
"203491","203490","order","Fusobacteriales","1","131567","2","","","32066","","203490","203491","","","","","","","","","","","","",""
"186826","91061","order","Lactobacillales","1","131567","2","","","1239","","91061","186826","","","","","","","","","","","","",""
"85006","1760","order","Micrococcales","1","131567","2","","","201174","","1760","85006","","","","","","","","","","","","",""
"2085","31969","order","Mycoplasmatales","1","131567","2","","","544448","","31969","2085","","","","","","","","","","","","",""
"206351","28216","order","Neisseriales","1","131567","2","","","1224","","28216","206351","","","","","","","","","","","","",""
"135625","1236","order","Pasteurellales","1","131567","2","","","1224","","1236","135625","","","","","","","","","","","","",""
"72274","1236","order","Pseudomonadales","1","131567","2","","","1224","","1236","72274","","","","","","","","","","","","",""
"909929","909932","order","Selenomonadales","1","131567","2","","","1239","","909932","909929","","","","","","","","","","","","",""
"204457","28211","order","Sphingomonadales","1","131567","2","","","1224","","28211","204457","","","","","","","","","","","","",""
"135614","1236","order","Xanthomonadales","1","131567","2","","","1224","","1236","135614","","","","","","","","","","","","",""
"539002","1385","below_order","Bacillales incertae sedis","1","131567","2","","","1239","","91061","1385","539002","","","","","","","","","","","",""
"538999","186802","below_order","Clostridiales incertae sedis","1","131567","2","","","1239","","186801","186802","538999","","","","","","","","","","","",""
"186813","186802","below_order","unclassified Clostridiales","1","131567","2","","","1239","","186801","186802","186813","","","","","","","","","","","",""
"539738","539002","below_below_order","Bacillales Family XI. Incertae Sedis","1","131567","2","","","1239","","91061","1385","539002","539738","","","","","","","","","","",""
"2049","2037","family","Actinomycetaceae","1","131567","2","","","201174","","1760","2037","","","2049","","","","","","","","","",""
"186827","186826","family","Aerococcaceae","1","131567","2","","","1239","","91061","186826","","","186827","","","","","","","","","",""
"506","80840","family","Alcaligenaceae","1","131567","2","","","1224","","28216","80840","","","506","","","","","","","","","",""
"186823","1385","family","Alicyclobacillaceae","1","131567","2","","","1239","","91061","1385","","","186823","","","","","","","","","",""
"1643824","84999","family","Atopobiaceae","1","131567","2","","","201174","","84998","84999","","","1643824","","","","","","","","","",""
"186817","1385","family","Bacillaceae","1","131567","2","","","1239","","91061","1385","","","186817","","","","","","","","","",""
"815","171549","family","Bacteroidaceae","1","131567","2","","68336","976","","200643","171549","","","815","","","","","","","","","",""
"31953","85004","family","Bifidobacteriaceae","1","131567","2","","","201174","","1760","85004","","","31953","","","","","","","","","",""
"85019","85006","family","Brevibacteriaceae","1","131567","2","","","201174","","1760","85006","","","85019","","","","","","","","","",""
"72294","213849","family","Campylobacteraceae","1","131567","2","","","1224","68525","29547","213849","","","72294","","","","","","","","","",""
"186828","186826","family","Carnobacteriaceae","1","131567","2","","","1239","","91061","186826","","","186828","","","","","","","","","",""
"809","51291","family","Chlamydiaceae","1","131567","2","","51290","204428","","204429","51291","","","809","","","","","","","","","",""
"31979","186802","family","Clostridiaceae","1","131567","2","","","1239","","186801","186802","","","31979","","","","","","","","","",""
"543310","538999","family","Clostridiales Family XI. Incertae Sedis","1","131567","2","","","1239","","186801","186802","538999","","543310","","","","","","","","","",""
"1653","85007","family","Corynebacteriaceae","1","131567","2","","","201174","","1760","85007","","","1653","","","","","","","","","",""
"85029","85007","family","Dietziaceae","1","131567","2","","","201174","","1760","85007","","","85029","","","","","","","","","",""
"1643826","1643822","family","Eggerthellaceae","1","131567","2","","","201174","","84998","1643822","","","1643826","","","","","","","","","",""
"543","91347","family","Enterobacteriaceae","1","131567","2","","","1224","","1236","91347","","","543","","","","","","","","","",""
"81852","186826","family","Enterococcaceae","1","131567","2","","","1239","","91061","186826","","","81852","","","","","","","","","",""
"186806","186802","family","Eubacteriaceae","1","131567","2","","","1239","","186801","186802","","","186806","","","","","","","","","",""
"49546","200644","family","Flavobacteriaceae","1","131567","2","","68336","976","","117743","200644","","","49546","","","","","","","","","",""
"203492","203491","family","Fusobacteriaceae","1","131567","2","","","32066","","203490","203491","","","203492","","","","","","","","","",""
"186803","186802","family","Lachnospiraceae","1","131567","2","","","1239","","186801","186802","","","186803","","","","","","","","","",""
"33958","186826","family","Lactobacillaceae","1","131567","2","","","1239","","91061","186826","","","33958","","","","","","","","","",""
"1129771","203491","family","Leptotrichiaceae","1","131567","2","","","32066","","203490","203491","","","1129771","","","","","","","","","",""
